               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.010732,            0.002463,                   0,             0.98617,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.01025,           0.0023244,                   0,             0.98611,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.01009,           0.0023561,                   0,             0.98613,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0096315,           0.0023336,                   0,             0.98644,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0099469,           0.0024794,                   0,             0.98631,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.009846,           0.0022629,                   0,             0.98616,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.009511,           0.0022904,                   0,             0.98633,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0098407,           0.0023208,                   0,             0.98623,           0.0073171,             0.19199,             0.19199,                 nan,                 nan,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0095085,           0.0021852,                   0,             0.98619,           0.0073171,             0.15459,             0.15459,                 nan,                 nan,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0094478,           0.0023221,                   0,             0.98633,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0099515,            0.002327,                   0,             0.98617,           0.0073171,             0.17122,             0.17122,                 nan,                 nan,                   0,            0.000298,            0.000298,            0.000298
